customer_id,customer_name,city,segment,join_date,email
CST0001,Dimas Rahayu,Bandung,New,2023-07-21,customer1@email.com
CST0002,Dimas Wijaya,Bandung,Regular,2022-12-18,customer2@email.com
CST0003,Dimas Saputra,Medan,Wholesale,2022-09-15,customer3@email.com
CST0004,Ahmad Nugroho,Jakarta,Wholesale,2022-10-11,customer4@email.com
CST0005,Budi Kusuma,Jakarta,Regular,2022-09-26,customer5@email.com
CST0006,Hendra Saputra,Bandung,Wholesale,2023-07-29,customer6@email.com
CST0007,Dewi Rahayu,Jakarta,Regular,2023-07-13,customer7@email.com
CST0008,Maya Wulandari,Jakarta,Regular,2023-03-17,customer8@email.com
CST0009,Siti Wijaya,Bandung,VIP,2022-02-10,customer9@email.com
CST0010,Andi Nugroho,Makassar,Regular,2022-04-16,customer10@email.com
CST0011,Lestari Hakim,Makassar,Wholesale,2022-06-08,customer11@email.com
CST0012,Nurul Firmansyah,Medan,Regular,2023-02-27,customer12@email.com
CST0013,Nurul Anggraini,Jakarta,VIP,2023-02-26,customer13@email.com
CST0014,Dimas Pratama,Medan,New,2023-01-27,customer14@email.com
CST0015,Wati Sari,Jakarta,Regular,2023-04-17,customer15@email.com
CST0016,Ayu Permata,Makassar,Regular,2022-08-17,customer16@email.com
CST0017,Andi Purnama,Jakarta,VIP,2022-10-13,customer17@email.com
CST0018,Dimas Kusuma,Surabaya,Wholesale,2023-07-04,customer18@email.com
CST0019,Budi Rahayu,Makassar,VIP,2022-07-02,customer19@email.com
CST0020,Dimas Santoso,Bogor,New,2023-03-21,customer20@email.com
CST0021,Rendi Purnama,Makassar,New,2023-01-30,customer21@email.com
CST0022,Andi Wijaya,Bogor,New,2023-03-23,customer22@email.com
CST0023,Joko Hakim,Jakarta,Regular,2023-01-08,customer23@email.com
CST0024,Ahmad Nugroho,Palembang,VIP,2022-11-18,customer24@email.com
CST0025,Ayu Saputra,Surabaya,VIP,2023-02-23,customer25@email.com
CST0026,Fajar Anggraini,Makassar,VIP,2023-07-22,customer26@email.com
CST0027,Andi Purnama,Bandung,Wholesale,2022-06-28,customer27@email.com
CST0028,Bagus Wijaya,Bogor,Wholesale,2023-07-16,customer28@email.com
CST0029,Ayu Wijaya,Jakarta,Regular,2023-03-17,customer29@email.com
CST0030,Indah Nugroho,Bogor,VIP,2023-04-22,customer30@email.com
CST0031,Hendra Nugroho,Tangerang,Regular,2023-06-08,customer31@email.com
CST0032,Nurul Nugroho,Tangerang,New,2022-10-18,customer32@email.com
CST0033,Indah Kusuma,Depok,New,2022-08-29,customer33@email.com
CST0034,Fitri Firmansyah,Semarang,Regular,2022-05-31,customer34@email.com
CST0035,Siti Sari,Jakarta,Wholesale,2022-03-16,customer35@email.com
CST0036,Rina Hakim,Tangerang,Regular,2023-01-29,customer36@email.com
CST0037,Fajar Sari,Tangerang,Regular,2022-01-06,customer37@email.com
CST0038,Rina Sari,Surabaya,Regular,2023-06-15,customer38@email.com
CST0039,Siti Saputra,Tangerang,Regular,2022-05-05,customer39@email.com
CST0040,Rizky Firmansyah,Tangerang,Wholesale,2023-06-28,customer40@email.com
CST0041,Indah Kusuma,Depok,Wholesale,2023-06-01,customer41@email.com
CST0042,Lestari Hidayat,Palembang,Regular,2023-05-02,customer42@email.com
CST0043,Dimas Firmansyah,Tangerang,Regular,2022-10-11,customer43@email.com
